model_id,name,organization,organization_id,organization_country,params,context,canonical_model_id,release_date,announcement_date,multimodal,license,knowledge_cutoff,input_price,output_price,throughput,latency,aime_2025_score,hle_score,gpqa_score,swe_bench_verified_score,mmmu_score,model_name_list,org_name_list
llama-3.1-nemotron-ultra-253b-v1,Llama 3.1 Nemotron Ultra 253B v1,NVIDIA,nvidia,US,253000000000.0,,,2025-04-07,2025-04-07,False,llama_3_1_community_license,2023-12-01,,,,,0.725,,0.7601,,,Llama 3.1 Nemotron Ultra 253B v1,NVIDIA
llama-3.2-11b-instruct,Llama 3.2 11B Instruct,Meta,meta,US,10600000000.0,128000.0,,2024-09-25,2024-09-25,True,llama_3_2_community_license,2023-12-31,0.05000000000000000000,0.05000000000000000000,108.0,,,,0.328,,0.507,Llama 3.2 11B Instruct,Meta
llama-3.2-3b-instruct,Llama 3.2 3B Instruct,Meta,meta,US,3210000000.0,128000.0,,2024-09-25,2024-09-25,False,llama_3_2_community_license,,0.01000000000000000000,0.02000000000000000000,171.5,,,,0.328,,,Llama 3.2 3B Instruct,Meta
llama-3.2-90b-instruct,Llama 3.2 90B Instruct,Meta,meta,US,90000000000.0,128000.0,,2024-09-25,2024-09-25,True,llama3_2,,0.35000000000000000000,0.40000000000000000000,24.0,,,,0.467,,0.603,Llama 3.2 90B Instruct,Meta
llama-3.3-70b-instruct,Llama 3.3 70B Instruct,Meta,meta,US,70000000000.0,128000.0,,2024-12-06,2024-12-06,False,llama_3_3_community_license_agreement,,0.20000000000000000000,0.20000000000000000000,42.0,,,,0.505,,,Llama 3.3 70B Instruct,Meta
llama-3.3-nemotron-super-49b-v1,Llama-3.3 Nemotron Super 49B v1,NVIDIA,nvidia,US,49900000000.0,,,2025-03-18,2025-03-18,False,llama_3_1_community_license,2023-12-31,,,,,0.584,,0.6667,,,Llama-3.3 Nemotron Super 49B v1,NVIDIA
llama-4-maverick,Llama 4 Maverick,Meta,meta,US,400000000000.0,1000000.0,,2025-04-05,2025-04-05,True,llama_4_community_license_agreement,,0.17000000000000000000,0.60000000000000000000,83.59,,,,0.698,,0.734,Llama 4 Maverick,Meta
llama-4-scout,Llama 4 Scout,Meta,meta,US,109000000000.0,10000000.0,,2025-04-05,2025-04-05,True,llama_4_community_license_agreement,,0.08000000000000000000,0.30000000000000000000,76.1,,,,0.572,,0.694,Llama 4 Scout,Meta
magistral-medium,Magistral Medium,Mistral AI,mistral,FR,24000000000.0,,,2025-06-10,2025-06-10,True,apache_2_0,2025-06-01,,,,,0.649,,0.708,,,Magistral Medium,Mistral AI
magistral-small-2506,Magistral Small 2506,Mistral AI,mistral,FR,24000000000.0,,,2025-06-10,2025-06-10,False,apache_2_0,2025-06-01,,,,,0.6276,,0.6818,,,Magistral Small 2506,Mistral AI
medgemma-4b-it,MedGemma 4B IT,Google,google,US,4300000000.0,,,2025-05-20,2025-05-20,True,health_ai_developer_foundations_terms_of_use,,,,,,,,,,,MedGemma 4B IT,Google
minimax-m1-40k,MiniMax M1 40K,MiniMax,minimax,,456000000000.0,,,2025-06-16,2025-06-16,False,mit,,,,,,0.746,0.072,0.692,0.556,,MiniMax M1 40K,MiniMax
minimax-m1-80k,MiniMax M1 80K,MiniMax,minimax,,456000000000.0,1000000.0,,2025-06-16,2025-06-16,False,mit,,0.55000000000000000000,2.2000000000000000,,,0.769,0.084,0.7,0.56,,MiniMax M1 80K,MiniMax
minimax-m2,MiniMax M2,MiniMax,minimax,,230000000000.0,1000000.0,,2025-10-27,2025-10-27,False,mit,,0.30000000000000000000,1.20000000000000000000,70.0,,0.78,0.125,0.78,0.694,,MiniMax M2,MiniMax
ministral-14b-latest,Ministral 3 (14B Reasoning 2512),Mistral AI,mistral,FR,14000000000.0,262100.0,,2025-12-04,2025-12-04,True,apache_2_0,,0.20000000000000000000,0.20000000000000000000,128.6,,0.85,,0.712,,,Ministral 3 (14B Reasoning 2512),Mistral AI
ministral-3-14b-base-2512,Ministral 3 (14B Base 2512),Mistral AI,mistral,FR,14000000000.0,,,2025-12-04,2025-12-04,True,apache_2_0,,,,,,,,,,,Ministral 3 (14B Base 2512),Mistral AI
ministral-3-14b-instruct-2512,MiniStral 3 (14B Instruct 2512),Mistral AI,mistral,FR,14000000000.0,,,2025-12-04,2025-12-04,True,apache_2_0,,,,,,,,,,,MiniStral 3 (14B Instruct 2512),Mistral AI
